,county,district_num,dist_name,dist_type,school_num,school_name,instruct_type,charter_type,aea,magnet_status,school_enrollment,zipcode,school_type,pcent_econ_disadv,pcent_esl,rating,X,Y
493,guadalupe_county,94903,navarro_isd,independent,94903101,navarro_el,regular_instructional,,n,n,702,78155,elementary,35.3,5.8,c,-97.97217303,29.65483407
494,guadalupe_county,94903,navarro_isd,independent,94903001,navarro_h_s,regular_instructional,,n,n,648,78155,high_school,20.2,2.7,b,-97.96702798,29.655846
495,guadalupe_county,94903,navarro_isd,independent,94903102,navarro_int,regular_instructional,,n,n,485,78155,elementary,29.2,5.0,c,-97.97498654,29.65481461
496,guadalupe_county,94903,navarro_isd,independent,94903041,navarro_j_h,regular_instructional,,n,n,345,78155,middle_school,27.6,5.5,b,-97.96702267,29.65688614
497,bexar_county,15907,san_antonio_isd,independent,15907155,neal_el,regular_instructional,,n,n,464,78201,elementary,95.2,35.7,b,-98.51350987,29.48333293
498,bexar_county,15915,northside_isd,independent,15915041,neff_middle,regular_instructional,,n,n,932,78238,middle_school,79.8,14.2,c,-98.59063202,29.4832084
499,bexar_county,15908,south_san_antonio_isd,independent,15908110,neil_armstrong_el,regular_instructional,,n,n,298,78242,elementary,93.1,3.3,b,-98.62223516,29.35654267
500,bexar_county,15910,north_east_isd,independent,15910312,neisd_-_pk4sa,regular_instructional,,n,n,96,78217,elementary,82.4,21.6,b,-98.45722496,29.52129232
501,bexar_county,15907,san_antonio_isd,independent,15907245,nelson_early_childhood_campus,regular_instructional,,n,n,201,78201,elementary,100.0,22.4,a,-98.52754854,29.44764919
502,comal_county,46901,new_braunfels_isd,independent,46901001,new_braunfels_h_s,regular_instructional,,n,n,1926,78130,high_school,28.2,4.8,b,-98.1502613,29.72005454
503,comal_county,46901,new_braunfels_isd,independent,46901002,new_braunfels_h_s_ninth_grade_center,regular_instructional,,n,n,781,78130,high_school,33.9,7.8,c,-98.1181125,29.638845
504,comal_county,46901,new_braunfels_isd,independent,46901041,new_braunfels_middle,regular_instructional,,n,n,1301,78130,middle_school,39.4,11.2,b,-98.1147645,29.65416625
505,bexar_county,15807,southwest_preparatory_school,charter,15807005,new_directions,alternative_instructional,open_enrollment_charter,y,n,69,78209,elem/secondary,86.4,10.6,a,-98.44339919,29.48918896
506,bexar_county,15915,northside_isd,independent,15915170,nichols_el,regular_instructional,,n,n,387,78254,elementary,39.0,3.5,b,-98.67132526,29.53182199
507,bexar_county,15910,north_east_isd,independent,15910044,nimitz_middle,regular_instructional,,n,y,1071,78216,middle_school,80.0,31.9,c,-98.50776148,29.501487
508,bexar_county,15915,northside_isd,independent,15915039,nisd_bexar_county_jja,jjaep_instructional,,n,n,31,78238,high_school,57.1,14.3,not_rated,-98.47321144,29.43679648
509,bexar_county,15915,northside_isd,independent,15915667,nisd_pksa,regular_instructional,,n,n,274,78238,elementary,54.0,38.0,b,-98.60144318,29.49150826
510,gonzales_county,89903,nixon-smiley_cisd,independent,89903101,nixon_smiley_el,regular_instructional,,n,n,458,78140,elementary,86.3,17.5,b,-97.63522749,29.2735717
511,gonzales_county,89903,nixon-smiley_cisd,independent,89903002,nixon-smiley_cisd_daep,daep_instructional,,n,n,-1,78140,high_school,100.0,0.0,not_rated,-97.63597021,29.26755719
512,gonzales_county,89903,nixon-smiley_cisd,independent,89903001,nixon-smiley_h_s,regular_instructional,,n,n,-1,78140,high_school,80.4,12.0,b,-97.76447017,29.2747677
513,gonzales_county,89903,nixon-smiley_cisd,independent,89903041,nixon-smiley_middle,regular_instructional,,n,n,300,78140,middle_school,84.6,28.4,b,-97.76447017,29.2747677
514,gonzales_county,89903,nixon-smiley_cisd,independent,89903004,nixon-smiley_pace,alternative_instructional,,n,n,0,78140,high_school,80.0,0.0,not_rated,-97.63597021,29.26755719
515,guadalupe_county,94902,schertz-cibolo-u_city_isd,independent,94902111,norma_j_paschal_el,regular_instructional,,n,n,604,78154,elementary,25.8,2.0,c,-98.28321936,29.58111528
516,guadalupe_county,94904,marion_isd,independent,94904101,norma_krueger_el,regular_instructional,,n,n,362,78124,elementary,50.7,8.4,a,-98.14347455,29.56932002
517,guadalupe_county,94904,marion_isd,independent,94904102,norma_krueger_el/bert_karrer_campus,regular_instructional,,n,n,327,78124,elementary,42.0,6.8,a,-98.14253454,29.56903915
518,bexar_county,15910,north_east_isd,independent,15910022,north_east_j_j_a_e_p,jjaep_instructional,,n,n,39,78217,high_school,63.2,10.5,not_rated,-98.47324003,29.43681545
519,bexar_county,15910,north_east_isd,independent,15910127,northern_hills_el,regular_instructional,,n,n,555,78217,elementary,81.1,7.7,b,-98.39453527,29.5681773
520,bexar_county,15915,northside_isd,independent,15915136,northwest_crossing_el,regular_instructional,,n,n,401,78250,elementary,60.3,18.2,b,-98.68452132,29.51118008
521,bexar_county,15910,north_east_isd,independent,15910109,northwood_el,regular_instructional,,n,n,344,78209,elementary,58.9,1.9,a,-98.43994268,29.50542742
522,bexar_county,15915,northside_isd,independent,15915016,oconnor_h_s,regular_instructional,,n,n,2794,78023,high_school,22.2,2.3,a,-98.685423,29.559168
523,comal_county,46902,comal_isd,independent,46902123,oak_creek_el,regular_instructional,,n,n,765,78130,elementary,37.8,3.1,a,-98.07217788,29.75070126
524,bexar_county,15911,east_central_isd,independent,15911110,oak_crest_el,regular_instructional,,n,n,674,78263,elementary,71.5,39.9,b,-98.336124,29.355264
525,bexar_county,15910,north_east_isd,independent,15910110,oak_grove_el,regular_instructional,,n,n,389,78217,elementary,89.7,20.9,b,-98.43621215,29.52740226
526,bexar_county,15915,northside_isd,independent,15915118,oak_hills_terrace_el,regular_instructional,,n,n,409,78240,elementary,86.5,3.4,not_rated_senate_bill_1365,-98.5997037,29.50156869
527,bexar_county,15910,north_east_isd,independent,15910131,oak_meadow_el,regular_instructional,,n,n,399,78231,elementary,48.6,7.0,a,-98.53961516,29.56959535
528,comal_county,46901,new_braunfels_isd,independent,46901042,oakrun_middle,regular_instructional,,n,n,930,78132,middle_school,29.7,8.4,b,-98.17161915,29.72414811
529,kendall_county,130801,meadowland_charter_district,charter,130801001,oaks_academy,alternative_instructional,open_enrollment_charter,n,n,45,78006,elem/secondary,86.3,6.8,not_rated,-98.71045151,29.76627898
530,bexar_county,15907,san_antonio_isd,independent,15907157,ogden_el,regular_instructional,campus_charter,n,n,384,78207,elementary,96.7,28.3,b,-98.53729564,29.43635363
531,bexar_county,15910,north_east_isd,independent,15910111,olmos_el,regular_instructional,,n,n,526,78213,elementary,91.7,40.2,b,-98.51428032,29.49774828
532,bexar_county,15916,judson_isd,independent,15916109,olympia_el,regular_instructional,,n,n,540,78148,elementary,54.7,1.7,b,-98.31799823,29.56804278
533,guadalupe_county,94901,seguin_isd,independent,94901104,oralia_r_rodriguez_el,regular_instructional,,n,n,475,78155,elementary,80.3,37.4,b,-97.99272541,29.5733971
534,bexar_county,15915,northside_isd,independent,15915182,ott_el,regular_instructional,,n,n,563,78253,elementary,45.4,3.6,b,-98.73748398,29.429665
535,bexar_county,15908,south_san_antonio_isd,independent,15908106,palo_alto_el,regular_instructional,,n,n,429,78211,elementary,93.9,1.4,b,-98.55233546,29.334402
536,bexar_county,15916,judson_isd,independent,15916105,park_village_el,regular_instructional,,n,n,441,78218,elementary,93.2,4.1,c,-98.37271456,29.4902932
537,bexar_county,15915,northside_isd,independent,15915122,passmore_el,regular_instructional,,n,n,376,78227,elementary,92.4,23.7,b,-98.62372054,29.430144
538,guadalupe_county,94901,seguin_isd,independent,94901108,patlan_el,regular_instructional,,n,n,443,78155,elementary,76.9,24.7,b,-97.96293882,29.59505411
539,bexar_county,15915,northside_isd,independent,15915046,pease_middle,regular_instructional,,n,n,813,78245,middle_school,78.8,10.5,c,-98.66887306,29.43386269
540,bexar_county,15911,east_central_isd,independent,15911103,pecan_valley_el,regular_instructional,,n,n,487,78222,elementary,87.7,0.7,c,-98.4164085,29.37466252
541,bexar_county,15907,san_antonio_isd,independent,15907158,pershing_el,regular_instructional,,n,n,303,78208,elementary,97.8,37.2,b,-98.45350298,29.44057432
542,comal_county,46902,comal_isd,independent,46902006,pieper_h_s,regular_instructional,,n,n,1450,78260,high_school,16.6,3.5,b,-98.4709845,29.721807
543,comal_county,46902,comal_isd,independent,46902047,pieper_ranch_middle,regular_instructional,,n,n,1583,78130,middle_school,16.6,4.9,a,-98.470125,29.717217
544,atascosa_county,7905,pleasanton_isd,independent,7905103,pleasanton_el,regular_instructional,,n,n,958,78064,elementary,68.4,6.0,c,-98.50036029,28.9656907
545,atascosa_county,7905,pleasanton_isd,independent,7905001,pleasanton_h_s,regular_instructional,,n,n,944,78064,high_school,57.2,4.2,b,-98.44719995,29.08707292
546,atascosa_county,7905,pleasanton_isd,independent,7905005,pleasanton_isd_school_of_choice,alternative_instructional,,y,n,9,78064,high_school,81.8,0.0,b,-98.4977041,28.97776307
547,atascosa_county,7905,pleasanton_isd,independent,7905041,pleasanton_j_h,regular_instructional,,n,n,772,78064,middle_school,64.1,5.8,b,-98.49799174,28.96747723
548,atascosa_county,7905,pleasanton_isd,independent,7905105,pleasanton_pri,regular_instructional,,n,n,695,78064,elementary,77.5,5.0,c,-98.49755573,28.97313378
549,bexar_county,15907,san_antonio_isd,independent,15907054,poe_middle,regular_instructional,,n,y,232,78210,middle_school,93.3,29.5,not_rated_senate_bill_1365,-98.46176404,29.40826394
550,bexar_county,15801,por_vida_academy,charter,15801001,por_vida_academy_charter_h_s,alternative_instructional,open_enrollment_charter,y,n,88,78210,high_school,100.0,0.0,not_rated_senate_bill_1365,-98.48968689,29.38518429
551,bexar_county,15801,por_vida_academy,charter,15801002,por_vida_academy_corpus_christi,alternative_instructional,open_enrollment_charter,y,n,47,78210,high_school,75.6,0.0,a,-97.38817966,27.71625175
552,bexar_county,15814,positive_solutions_charter_school,charter,15814001,positive_solutions_charter,alternative_instructional,open_enrollment_charter,y,n,101,78212,high_school,90.3,3.2,not_rated_senate_bill_1365,-98.50300583,29.43874975
553,wilson_county,247904,poth_isd,independent,247904101,poth_el,regular_instructional,,n,n,455,78147,elementary,34.6,7.6,b,-98.0832735,29.073771
554,wilson_county,247904,poth_isd,independent,247904001,poth_h_s,regular_instructional,,n,n,274,78147,high_school,12.5,4.7,a,-98.08226428,29.07471652
555,wilson_county,247904,poth_isd,independent,247904041,poth_j_h,regular_instructional,,n,n,206,78147,middle_school,32.5,6.3,a,-98.08229707,29.07462922
556,medina_county,163908,medina_valley_isd,independent,163908105,potranco_el,regular_instructional,,n,n,847,78253,elementary,40.0,8.8,a,-98.81283164,29.43082327
557,bexar_county,15915,northside_isd,independent,15915112,powell_el,regular_instructional,,n,n,385,78238,elementary,85.9,2.7,c,-98.6044275,29.47422049
